authFullName_s,authIdHal_i,authIdHal_s,title_s,halId_s,producedDateY_i,doiId_s,keyword_s,abstract_s,uri_s,domain_s,llama3-8b-8192,llama3-70b-8192
"['Iolanda Decorato', 'Zaher Kharboutly', 'Tommaso Vassallo', 'Justin Penrose', 'Cécile Legallais', 'Anne-Virginie Salsac']","[170850, 172643]","['cecile-legallais', 'anne-virginie-salsac']",Numerical simulation of the fluid structure interactions in a compliant patient-specific arteriovenous fistula,hal-02019727,2014,10.1002/cnm.2595,"['Arteriovenous fistula', 'Fluid-structure interactions', 'Hemodynamics vessel wall internal stresses']","['The objective of the study is to investigate numerically the fluid‐structure interactions (FSI) in a patient‐specific arteriovenous fistula (AVF) and analyze the degree of complexity that such a numerical simulation requires to provide clinically relevant information. The reference FSI simulation takes into account the non‐Newtonian behavior of blood, as well as the variation in mechanical properties of the vascular walls along the AVF. We have explored whether less comprehensive versions of the simulation could still provide relevant results. The non‐Newtonian blood model is necessary to predict the hemodynamics in the AVF because of the predominance of low shear rates in the vein. An uncoupled fluid simulation provides informative qualitative maps of the hemodynamic conditions in the AVF; quantitatively, the hemodynamic parameters are accurate within 20% maximum. Conversely, an uncoupled structural simulation with non‐uniform wall properties along the vasculature provides the accurate distribution of internal wall stresses, but only at one instant of time within the cardiac cycle. The FSI simulation advantageously provides the time‐evolution of both the hemodynamic and structural stresses. However, the higher computational cost renders a clinical use still difficult in routine. Copyright © 2013 John Wiley & Sons, Ltd.']",https://hal.utc.fr/hal-02019727,"['0.phys', '1.phys.meca', '2.phys.meca.biom']","['fluid-structure interactions' 'patient-specific arteriovenous fistula'
 'numerical simulation' 'non-Newtonian blood' 'hemodynamics'
 'FSI simulation' 'vascular walls' 'mechanical properties' 'cardiac cycle'
 'internal wall stresses' 'computational cost' 'clinical use']","['Fluid-structure interactions' 'Arteriovenous fistula'
 'Numerical simulation' 'Non-Newtonian blood model' 'Hemodynamics'
 'Vascular walls' 'Mechanical properties' 'Fluid simulation'
 'Structural simulation' 'Internal wall stresses' 'Cardiac cycle'
 'Computational cost' 'Clinical use']"
"['Y.J. Li', 'D. Barthès-Biesel', 'Anne-Virginie Salsac']",[172643],['anne-virginie-salsac'],Polymerization kinetics of n-butyl cyanoacrylate glues used for vascular embolization,hal-02019556,2017,10.1016/j.jmbbm.2017.01.003,"['Vascular embolization', 'Interfacial polymerization', 'Volumetric polymerization', 'Glubran 2', 'Histoacryl']","['Vascular embolization is a minimally invasive treatment used for the management of vascular malformations and tumors. It is carried out under X-ray by navigating a microcatheter into the targeted blood vessel, through which embolic agents are delivered to occlude the vessels. Cyanoacrylate liquid glues have been widely used for vascular embolization owing to their low viscosity, rapid polymerization/solidification rate, good penetration ability and low tissue toxicity. The objective of this study is to quantitatively investigate the physical properties of two n-butyl cyanoacrylate (nBCA) glues (Glubran 2 and Histoacryl) mixed with an iodized oil (Lipiodol) at various concentrations. We show that an homogeneous solution results from the mixing of the glue and Lipiodol, and that the viscosity, density and interfacial tension of the mixture increase with the proportion in Lipiodol. We have designed a new experimental setup to systemically characterize the polymerization kinetics of a glue mixture upon contact with an ionic solution. We observe that the whole polymerization process includes two phases: an interfacial polymerization that takes place at the interface as soon as the two liquids are in contact with a characteristic time scale of the order of the minute; a volumetric polymerization during which a reaction front propagates within the mixture bulk with a characteristic time scale of the order of tens of minutes. The polymerization rate, front propagation speed and volume reduction increase with the glue concentrations. It is the first time that such comprehensive results are obtained on liquid embolic agents.']",https://hal.utc.fr/hal-02019556,"['0.phys', '1.phys.meca', '2.phys.meca.biom']","['vascular embolization' 'n-butyl cyanoacrylate' 'polymerization kinetics'
 'glues' 'Lipiodol']","['vascular embolization' 'cyanoacrylate' 'n-butyl cyanoacrylate'
 'Lipiodol' 'polymerization kinetics' 'interfacial polymerization'
 'volumetric polymerization' 'vascular malformations' 'tumors']"
"['Jonathan Gubspun', 'Pierre-Yves Gires', 'Clement de Loubens', 'Dominique Barthès-Biesel', 'Julien Deschamps', 'Marc Georgelin', 'Marc Leonetti', 'Eric Leclerc', 'Florence Edwards-Lévy', 'Anne-Virginie Salsac']","[172663, 1215270, 741748, 983509, 172643]","['clement-de-loubens', 'julien-deschamps', 'marc-leonetti', 'anne-virginie-salsac']",Characterization of the mechanical properties of cross-linked serum albumin microcapsules: effect of size and protein concentration,hal-01331128,2016,10.1007/s00396-016-3885-8,"['Microcapsule', 'Interfacial cross-linking', 'Shear elastic modulus', 'Microfluidics', 'Albumin']","['A microfluidic technique is used to characterize the mechanical behavior of capsules that are produced in a two-step process: first, an emulsification step to form droplets, followed by a cross-linking step to encapsulate the droplets within a thin membrane composed of cross-linked proteins. The objective is to study the influence of the capsule size and protein concentration on the membrane mechanical properties. The microcapsules are fabricated by cross-linking of human serum albumin (HSA) with concentrations from 15 to 35 % (w/v). A wide range of capsule radii (∼40–450 μm) is obtained by varying the stirring speed in the emulsification step. For each stirring speed, a low threshold value in protein concentration is found, below which no coherent capsules could be produced. The smaller the stirring speed, the lower the concentration can be. Increasing the concentration from the threshold value and considering capsules of a given size, we show that the surface shear modulus of the membrane increases with the concentration following a sigmoidal curve. The increase in mechanical resistance reveals a higher degree of cross-linking in the membrane. Varying the stirring speed, we find that the surface shear modulus strongly increases with the capsule radius: its increase is two orders of magnitude larger than the increase in size for the capsules under consideration. It demonstrates that the cross-linking reaction is a function of the emulsion size distribution and that capsules produced in batch through emulsification processes inherently have a distribution in mechanical resistance.']",https://hal.science/hal-01331128,"['0.spi', '1.spi.meca', '2.spi.meca.biom', '0.phys', '1.phys.cond', '2.phys.cond.cm-scm', '0.phys', '1.phys.meca', '2.phys.meca.mefl']","['Microfluidic' 'Capsules' 'Mechanical' 'Properties' 'Size' 'Protein'
 'Concentration' 'Cross-linking' 'Membrane' 'Surface' 'Shear Modulus']","['Microfluidic' 'Mechanical behavior' 'Capsules' 'Emulsification'
 'Cross-linking' 'Protein concentration' 'Microcapsules'
 'Human serum albumin' 'Membrane mechanical properties'
 'Surface shear modulus' 'Emulsion size distribution']"
"['Pierre-Yves Gires', 'Dominique Barthès-Biesel', 'Eric Leclerc', 'Anne-Virginie Salsac']","[945746, 172643]","['cnrslec', 'anne-virginie-salsac']",Transient behavior and relaxation of microcapsules with a cross-linked human serum albumin membrane,hal-02019566,2016,10.1016/j.jmbbm.2015.09.008,"['Microcapsules', 'Relaxation', 'Microfluidic experiment', 'Mechanical characterization', 'Fluid structure interactions']","['Capsules consist of droplets enclosed by a membrane with shear resistant properties especially when fabricated by interfacial cross-linking. In many applications, the protection and release of the internal medium need to be strictly controlled. It is possible to tune the membrane mechanical properties by changing the physico-chemical conditions of the fabrication process, but a good control of the production requires their characterization, which is a scientific challenge, since the objects are a few tens of microns in size at most. One advantageous approach is to resort to microfluidic techniques. We study the transient response of capsules having a cross-linked human serum albumin (HSA) membrane, as they flow through a sudden expansion. We determine the characteristic time scales of the capsule relaxation and compare them to the ones predicted by a full numerical model of the relaxation of a capsule flowing in a rectangular channel, for which the membrane is assumed to be purely elastic. We show that the membrane is viscoelastic and that the relaxation is solely a function of the ratio of the relaxation time to the convective time.']",https://hal.utc.fr/hal-02019566,"['0.phys', '1.phys.meca', '2.phys.meca.biom']","['Microcapsules' 'Cross-linked' 'Human serum albumin' 'Membrane'
 'Relaxation' 'Microfluidic' 'Viscoelastic']","['membrane' 'capsules' 'microfluidic' 'cross-linking' 'viscoelastic'
 'relaxation' 'microcapsules' 'human serum albumin']"
"['R.X. X Lu', 'Z. Wang', 'Anne-Virginie Salsac', 'D. Barthès-Biesel', 'W. Wang', 'Y. Sui']",[172643],['anne-virginie-salsac'],Path selection of a train of spherical capsules in a branched microchannel,hal-03310771,2021,10.1017/jfm.2021.571,"['Capsule train', 'Branched microchannel', 'Capsule interaction', 'Path selection', 'Suspension enrichment']","['Microfluidic systems consisting of a square microchannel with an orthogonal side branch are promising tools to enrich or sort suspensions of deformable capsules. To allow their operating control, we numerically consider a train of initially spherical identical capsules, equally spaced along the axis of the feeding channel. The capsules have a strain-hardening membrane, an internal fluid viscosity identical to that of the external fluid and a size comparable to that of the channel. We study the influence of the interspacing on the capsule path selection at the channel bifurcation using a three-dimensional immersed boundary–lattice Boltzmann method. Our objectives are to establish a phase diagram and identify the critical interspacing above which hydrodynamic interaction between capsules no longer affects their path selection. We find two main regimes. At low interspacing, strong capsule interaction leads to an unsteady regime for which the capsule path selection follows either a periodic or a disordered state. Above a critical initial interspacing $d_{ct}$ , a steady regime is achieved where interaction between capsules is too weak to affect their path selection. The capsules then follow an identical steady trajectory. We find that the dependence of the interspacing $d_{ct}$ , normalised by the capsule radius, on the flow split ratio falls onto a universal curve regardless of the flow strength, capsule size and membrane shear elasticity. We also compare the path selection of a capsule train with that of a two-capsule system, and discuss applications of the present results in controlling capsule trains in microfluidic suspension enrichment devices.']",https://hal.science/hal-03310771,"['0.phys', '1.phys.meca', '2.phys.meca.biom']","['Microfluidic' 'capsules' 'path selection' 'suspension' 'enrichment'
 'strain-hardening' 'lattice Boltzmann' 'immersed boundary'
 'phase diagram' 'hydrodynamic interaction' 'regime']","['Microfluidic systems' 'Capsule path selection' 'Microchannel'
 'Bifurcation' 'Hydrodynamic interaction'
 'Immersed boundary–lattice Boltzmann method' 'Phase diagram'
 'Critical interspacing' 'Capsule radius' 'Flow split ratio'
 'Capsule train' 'Microfluidic suspension enrichment devices']"
"['Jean Matthieu Prot', 'Caroline Aninat', 'Laurent Griscom', 'Florence Razan', 'Céline Brochot', 'Christiane Guguen Guillouzo', 'Cécile Legallais', 'Anne Corlu', 'Eric Leclerc']","[4784, 753153, 170850]","['florence-razan', 'celine-brochot', 'cecile-legallais']",Improvement of HepG2/C3a cell functions in a microfluidic biochip.,hal-00740224,2011,10.1002/bit.23104,"['Transcriptomic', 'PDMS', 'Microfluidic biochip', 'Hepatocytes', 'Liver', 'Transcriptomic']","[""Current developments in tissue engineering and microtechnology fields allow the use of microfluidic biochip as microtools for in vitro investigations. In the present study, we describe the behavior of HepG2/C3a cells cultivated in a poly(dimethylsiloxane) (PDMS) microfluidic biochip coupled to a perfusion system. Cell culture in the microfluidic biochip for 96 h including 72 h of perfusion provoked a 24 h delay in cell growth compared to plate cultures. Inside the microfluidic biochip, few apoptosis, and necrosis were detected along the culture and 3D cell organization was observed. Regarding the hepatic metabolism, glucose and glutamine consumptions as well as albumin synthesis were maintained. A transcriptomic analysis performed at 96 h of culture using Affymetrix GeneChip demonstrated that 1,025 genes with a fold change above 1.8 were statistically differentially expressed in the microfluidic biochip cultures compared to plate cultures. Among those genes, phase I enzymes involved in the xenobiotic's metabolism such as the cytochromes P450 (CYP) 1A1/2, 2B6, 3A4, 3A5, and 3A7 were up-regulated. The CYP1A1/2 up-regulation was associated with the appearance of CYP1A1/2's activity evidenced by using EROD biotransformation assay. Several phase II enzymes such as sulfotransferases (SULT1A1 and SULT1A2), UDP-glucuronyltransferase (UGT1A1, UGT2B7) and phase III transporters (such as MDR1, MRP2) were also up-regulated. In conclusion, microfluidic biochip could and provide an important insight to exploring the xenobiotic's metabolism. Altogether, these results suggest that this kind of biochip could be considered as a new pertinent tool for predicting cell toxicity and clearance of xenobiotics in vitro.""]",https://hal.science/hal-00740224,"['0.sdv', '1.sdv.mhep', '2.sdv.mhep.heg']","['Microfluidic biochip' 'HepG2/C3a cells' 'Tissue engineering'
 'Microtechnology' 'Cell culture' 'Apoptosis' 'Necrosis'
 '3D cell organization' 'Hepatic metabolism' 'Glucose consumption'
 'Glutamine consumption' 'Albumin synthesis' 'Transcriptomic analysis'
 'Xenobiotics metabolism' 'Cytochromes P450' 'Phase I enzymes'
 'Phase II enzymes' 'Phase III transporters' 'Cell toxicity' 'Clearance']","['Microfluidic biochip' 'Tissue engineering' 'HepG2/C3a cells'
 'Cell culture' 'Xenobiotic metabolism' 'Cytochromes P450'
 'Phase I enzymes' 'Phase II enzymes' 'Phase III transporters'
 'Cell toxicity' 'Xenobiotic clearance']"
"['Laetitia Shintu', 'Régis Baudoin', 'Vincent Navratil', 'Jean-Matthieu Prot', 'Clément Pontoizeau', 'Marianne Defernez', 'Benjamin J. Blaise', 'Céline Domange', 'Alexandre R.R. Pery', 'Pierre Toulhoat', 'Cécile Legallais', 'Céline Brochot', 'Eric Leclerc', 'Marc-Emmanuel Dumas']","[766228, 766229, 14338, 181284, 170850, 753153, 750569]","['celine-domange', 'alexandre-pery', 'cecile-legallais', 'celine-brochot', 'marc-emmanuel-dumas']",Metabolomics-on-a-Chip and Predictive Systems Toxicology in Microfluidic Bioartificial Organs,hal-00699575,2012,10.1021/ac2011075,"['NMR-SPECTROSCOPY', 'NUCLEAR-MAGNETIC-RESONANCE', 'HEPATIC-ENCEPHALOPATHY', 'LIVER', 'DATA SETS', 'PATTERN-RECOGNITION', 'CORRELATION SPECTROSCOPY', 'CAENORHABDITIS-ELEGANS', 'OXIDATIVE STRESS', 'DRUG TOXICITY']","['The world faces complex challenges for chemical hazard assessment. Microfluidic bioartificial organs enable the spatial and temporal control of cell growth and biochemistry, critical for organ-specific metabolic functions and particularly relevant to testing the metabolic dose-response signatures associated with both pharmaceutical and environmental toxicity. Here we present an approach combining a microfluidic system with H-1 NMR-based metabolomic footprinting as a high-throughput small-molecule screening approach. We characterized the toxicity of several molecules: ammonia (NH3), an environmental pollutant leading to metabolic acidosis and liver and kidney toxicity; dimethylsulfoxide (DMSO), a free radical-scavenging solvent; and N-acetyl-para-aminophenol (APAP, or paracetamol), a hepatotoxic analgesic drug. We report organ-specific NH3 dose-dependent metabolic responses in several microfluidic bioartificial organs (liver, kidney, and cocultures), as well as predictive (99% accuracy for NH3 and 94% for APAP) compound-specific signatures. Our integration of microtechnology, cell culture in microfluidic biochips, and metabolic profiling opens the development of so-called ""metabolomics-on-a-chip"" assays in pharmaceutical and environmental toxicology.']",https://hal.science/hal-00699575,"['0.chim', '1.chim.anal']","['Toxicity' 'metabolomics' 'microfluidic' 'bioartificial' 'organs'
 'dose-response' 'screening' 'NMR' 'microtechnology' 'cell culture'
 'biochips' 'metabolomics-on-a-chip' 'predictive' 'systems' 'toxicology'
 'pharmaceutical' 'environmental' 'acidosis' 'liver' 'kidney'
 'free radical' 'solvents' 'paracetamol']","['Microfluidic' 'Bioartificial' 'Organs' 'Toxicity' 'Metabolic'
 'Metabolomics' 'Pharmaceutical' 'Environmental' 'Hazard' 'Assessment'
 'Screening' 'NMR' 'Metabolomic' 'Footprinting' 'High-throughput']"
"['Leila Choucha-Snouber', 'Caroline Aninat', 'Laurent Grsicom', 'Geoffrey Madalinski', 'Céline Brochot', 'Paul Emile Poleni', 'Florence Razan', 'Christiane Guguen Guillouzo', 'Cécile Legallais', 'Anne Corlu', 'Eric Leclerc']","[753153, 4784, 170850, 945746]","['celine-brochot', 'florence-razan', 'cecile-legallais', 'cnrslec']",Investigation of ifosfamide nephrotoxicity induced in a liver-kidney co-culture biochip.,inserm-00864839,2013,10.1002/bit.24707,"['Liver', 'Kidney', 'Co-culture', 'Ifosfamide', 'Micro fluidic biochips', 'PDMS']","['In this article, we present a liver-kidney co-culture model in a micro fluidic biochip. The liver was modeled using HepG2/C3a and HepaRG cell lines and the kidney using MDCK cell lines. To demonstrate the synergic interaction between both organs, we investigated the effect of ifosfamide, an anticancerous drug. Ifosfamide is a prodrug which is metabolized by the liver to isophosforamide mustard, an active metabolite. This metabolism process also leads to the formation of chloroacetaldehyde, a nephrotoxic metabolite and acrolein a urotoxic one. In the biochips of MDCK cultures, we did not detect any nephrotoxic effects after 72\u2009h of 50\u2009µM ifosfamide exposure. However, in the liver-kidney biochips, the same 72\u2009h exposure leads to a nephrotoxicity illustrated by a reduction of the number of MDCK cells (up to 30% in the HepaRG-MDCK) when compared to untreated co-cultures or treated MDCK monocultures. The reduction of the MDCK cell number was not related to a modification of the cell cycle repartition in ifosfamide treated cases when compared to controls. The ifosfamide biotransformation into 3-dechloroethylifosfamide, an equimolar byproduct of the chloroacetaldehyde production, was detected by mass spectrometry at a rate of apparition of 0.3\u2009±\u20090.1 and 1.1\u2009±\u20090.3\u2009pg/h/biochips in HepaRG monocultures and HepaRG-MDCK co-cultures respectively. Any metabolite was detected in HepG2/C3a cultures. Furthermore, the ifosfamide treatment in HepaRG-MDCK co-culture system triggered an increase in the intracellular calcium release in MDCK cells on contrary to the treatment on MDCK monocultures. As 3-dechloroethylifosfamide is not toxic, we have tested the effect of equimolar choloroacetaldehyde concentration onto the MDCK cells. At this concentration, we found a quite similar calcium perturbation and MDCK nephrotoxicity via a reduction of 30% of final cell numbers such as in the ifosfamide HepaRG-MDCK co-culture experiments. Our results suggest that ifosfamide nephrotoxicity in a liver-kidney micro fluidic co-culture model using HepaRG-MDCK cells is induced by the metabolism of ifosfamide into chloroacetaldehyde whereas this pathway is not functional in HepG2/C3a-MDCK model. This study demonstrates the interest in the development of systemic organ-organ interactions using micro fluidic biochips. It also illustrated their potential in future predictive toxicity model using in vitro models as alternative methods.']",https://inserm.hal.science/inserm-00864839,"['0.sdv', '1.sdv.mhep', '2.sdv.mhep.heg']","['ifosfamide' 'liver-kidney' 'micro fluidic' 'biochip' 'nephrotoxicity'
 'co-culture' 'HDCK' 'HepaRG' 'HepG2/C3a' 'anticancerous' 'prodrug'
 'metabolism' 'cell number' 'calcium release' 'chloroacetaldehyde'
 'acrolein' 'urotoxic' 'nephrotoxic']","['co-culture model' 'micro fluidic biochip' 'liver' 'kidney' 'ifosfamide'
 'HepG2/C3a' 'HepaRG' 'MDCK' 'nephrotoxicity' 'chloroacetaldehyde'
 'acrolein' 'metabolism' 'biochips' 'cell lines' 'micro fluidic'
 'predictive toxicity model']"
"['Leila Choucha-Snouber', 'Andrei Bunescu', 'Cécile Legallais', 'Céline Brochot', 'Marc-Emmanuel Dumas', 'Bénédicte Elena-Herrmann', 'Eric Leclerc']","[170850, 753153, 750569, 178268]","['cecile-legallais', 'celine-brochot', 'marc-emmanuel-dumas', 'benedicte-elena-herrmann']",Metabolomics-on-a-chip of hepatotoxicity induced by anticancer drug flutamide and its active metabolite hydroxyflutamide using HepG2/C3a microfluidic biochips,ineris-00963445,2013,10.1093/toxsci/kfs230,"['LIVER MICROFLUIDIC BIOCHIPS', 'METABOLOMICS', 'FLUTAMIDE', 'HEPATOTOXICITY']","['We used the recently introduced ""metabolomics-on-a-chip"" approach to test secondary drug toxicity in bioartificial organs. Bioartificial organs cultivated in microfluidic culture conditions provide a beneficial environment, in which the cellular cytoprotective mechanisms are enhanced, compared with Petri dish culture conditions. We investigated the metabolic response of HepG2/C3a cells exposed to flutamide, an anticancer prodrug, and hydroxyflutamide (HF), its active metabolite, in a microfluidic biochip. The cellular response was analyzed by (1)H nuclear magnetic resonance spectroscopy to identify cell-specific molecule-response markers. The metabolic response to flutamide results in a disruption of glucose homeostasis and in mitochondrial dysfunctions. This flutamide-specific metabolic response was illustrated by a reduction of the extracellular glucose and fructose consumptions and a general reduction of the tricarboxylic acid cycle activity leading to the reduction of the consumption of several amino acids. We also found a higher production of 3-hydroxybutyrate and lactate, and the reduction of the albumin production compared with controls. The toxic metabolic signature associated with the active metabolite HF was illustrated by a high-energy demand and an increase in several amino acid metabolism. Finally, for both molecules, the hepatotoxicity was correlated to the glutathione (GSH) metabolism illustrated by the levels of the 2-hydroxybutyrate and pyroglutamate productions and the increase of the glutamate and glycine productions. Thus, the entire set of results contributed to extract specific mechanistic toxic signatures and their relation to hepatotoxicity, which appeared consistent with literature reports. As new finding of HepG2/C3a cells hepatotoxicity, we propose a metabolic network with a related list of metabolite variations to describe the GSH depletion when followed by a cell death for the HepG2/C3a cells cultivated in our polydimethylsiloxane microfluidic biochips. Our findings illustrate the potential of metabolomics-on-a-chip as an in vitro alternative method for predictive toxicology.']",https://ineris.hal.science/ineris-00963445,"['0.sdv', '1.sdv.tox', '0.sde']","['metabolomics-on-a-chip' 'hepatotoxicity' 'flutamide' 'hydroxyflutamide'
 'HepG2/C3a' 'microfluidic biochips' 'bioartificial organs'
 'nuclear magnetic resonance spectroscopy' 'toxicology']","['metabolomics-on-a-chip' 'bioartificial organs' 'microfluidic culture'
 'HepG2/C3a cells' 'flutamide' 'hydroxyflutamide' 'toxic metabolite'
 'hepatotoxicity' 'glutathione' 'predictive toxicology']"
"['Jean-Matthieu Prot', 'Luis Maciel', 'Thibault Bricks', 'Franck Merlier', 'Jérôme Cotton', 'Patrick Paullier', 'Frédéric Y. Bois', 'Eric Leclerc']","[775837, 777699]",,First pass intestinal and liver metabolism of paracetamol in a microfluidic platform coupled with a mathematical modeling as a means of evaluating ADME processes in humans,ineris-01855015,2014,10.1002/bit.25232,"['LIVER MICROFLUIDIC BIOCHIP', 'IN VITRO/IN VIVO EXTRAPOLATION', 'CACO-2 PERMEABILITY', 'PARACETAMOL', 'PHARMACOKINETIC MODEL', 'PHASE II METABOLISM', 'ALTERNATIVE METHODS', 'LIVER MICROFLUIDIC BIOCHIP']","['We developed a microfluidic platform to investigate paracetamol intestinal and liver first pass metabolism. This approach was coupled with a mathematical model to estimate intrinsic in vitro parameters and to predict in vivo processes. The kinetic modeling estimated the paracetamol and paracetamol sulfate permeabilities, the sulfate and glucuronide effluxes in the intestine compartment. Based on a gut model, we estimated intrinsic intestinal clearance of between 26 and 77 L/h for paracetamol in humans, a permeability of 10 L/h, and a gut availability between 0.17 and 0.53 (compared to 0.95-1 in vivo). The role played by the liver in paracetamol metabolism was estimated via in vitro intrinsic clearances of 7.6, 13.6, and 11.5 mu L/min/10(6) cells for HepG2/C3a, rat primary hepatocytes, and human primary hepatocytes, respectively. Based on a parallel tube model to describe the liver, the paracetamol hepatic clearance, and the paracetamol hepatic availability in humans were estimated at 6.5 mL/min/kg of bodyweight (BDW) and 0.7, respectively (when compared to 5 mL/min/kg of BDW and 0.77 to 0.88 for in vivo values, respectively). The drug availability was predicted ranging between 0.24 and 0.41 (0.88 in vivo). The overall approach provided a first step in an integrated strategy combining in silico/in vitro methods based on microfluidic for evaluating drug absorption, distribution and metabolism processes.']",https://ineris.hal.science/ineris-01855015,"['0.sdv', '1.sdv.tox']","['Microfluidic' 'Paracetamol' 'First pass metabolism' 'Intestinal' 'Liver'
 'In vitro' 'In silico' 'Mathematical modeling' 'ADME' 'Humans'
 'Kinetic modeling' 'Permeability' 'Clearance']","['paracetamol' 'microfluidic' 'intestinal' 'liver' 'metabolism'
 'clearance' 'permeability' 'efflux' 'glucuronide' 'sulfate' 'HepG2'
 'hepatocytes' 'kinetic modeling' 'ADME' 'in vitro' 'in vivo']"
