author_init,doi,keywords,scorings
a5063079937,10.1002/cnm.2595,"['Fluid–structure interaction', 'Coherent Structures', 'Cardiac cycle']","[0.62268925, 0.483563, 0.48341334]"
a5063079937,10.1016/j.jmbbm.2017.01.003,"['Lipiodol', 'Embolization', 'GLUE', 'Penetration (warfare)']","[0.7177711, 0.54162, 0.5057626, 0.43282855]"
a5063079937,10.1007/s00396-016-3885-8,"['Microfluidics', 'Capsule', 'Microcirculation', 'Membrane emulsification']","[0.549703, 0.5202521, 0.514054, 0.4593994]"
a5063079937,10.1016/j.jmbbm.2015.09.008,"['Capsule', 'Microcirculation', 'Transient (computer programming)']","[0.51329726, 0.499061, 0.49849153]"
a5063079937,10.1017/jfm.2021.571,"['Microchannel', 'Microcirculation', 'Molecular Modeling', 'Microfluidic Rheometry', 'Multi-Phase Flows']","[0.5784049, 0.543287, 0.508345, 0.50701, 0.505585]"
a5075692514,10.1002/bit.23104,"['Biochip', 'Microfluidics', 'Microfluidic Devices', 'Nanofluidic Devices', 'Single-Cell Analysis', 'Lab-on-a-Chip']","[0.9741083, 0.533397, 0.520252, 0.50787, 0.505459, 0.50183]"
a5075692514,10.1021/ac2011075,"['Microfluidics', 'Metabolomics', 'Microfluidic Devices', 'Pharmacometabolomics', 'Continuous Flow Chemistry']","[0.554642, 0.552467, 0.534223, 0.526998, 0.51379]"
a5075692514,10.1002/bit.24707,"['Nephrotoxicity', 'Active metabolite', 'Acrolein', 'Biochip', 'Organ-on-a-Chip']","[0.8054516, 0.5302902, 0.52981484, 0.50525695, 0.480273]"
a5075692514,10.1093/toxsci/kfs230,"['Biochip', 'Flutamide', 'Metabolomics', 'Pharmacometabolomics', 'Human Metabolome Database', 'Organ-on-a-Chip', 'Microfluidics', 'Microfluidic chip', 'Active metabolite']","[0.75438154, 0.6941055, 0.598112, 0.596032, 0.551953, 0.527822, 0.515752, 0.4921886, 0.49008286]"
a5075692514,10.1002/bit.25232,"['ADME', 'Drug Metabolism']","[0.85380685, 0.494591]"
a5075692514,10.1016/j.taap.2011.12.017,"['Acetaminophen', 'Toxicogenomics', 'Lysophosphatidylethanolamine', 'Organ-on-a-Chip', 'Pharmacometabolomics', 'Biochip']","[0.7074783, 0.59997416, 0.54664004, 0.511019, 0.503016, 0.42540964]"
a5075692514,10.1016/j.ijpharm.2011.01.054,"['Biochip', 'Xenobiotic Metabolism', 'Drug Metabolism', 'Pharmaceutical technology']","[0.72751075, 0.520224, 0.503828, 0.4127664]"
a5075692514,10.1002/jps.23466,"['Xenobiotic Metabolism', 'Cell Culture', 'Single-Cell Analysis']","[0.537992, 0.506618, 0.503161]"
a5075692514,10.1016/j.bej.2020.107783,"['PDX1', 'GLUT2', 'Organ-on-a-Chip', 'Lab-on-a-Chip', 'Pancreas Development', 'Pancreatic islets']","[0.74606514, 0.6272703, 0.568826, 0.546015, 0.52816, 0.42573255]"
a5059667793,10.1080/10255842.2013.867952,"['Dynamic Time Warping', 'Normalization (sociology)']","[0.489954, 0.43083805]"
a5059667793,10.1016/j.csda.2009.08.003,"['Musculoskeletal Modeling', 'Surface EMG', 'SIGNAL (programming language)', 'Sensor fusion']","[0.54199, 0.504524, 0.5006883, 0.45441163]"
a5059667793,10.1080/10255842.2015.1070578,"['Functional electrical stimulation', 'Motor unit', 'Musculoskeletal Modeling', 'Neuroprosthetics', 'Sensory Feedback', 'Muscle Synergies', 'Motor unit recruitment']","[0.6836722, 0.6431325, 0.614495, 0.51180404, 0.508307, 0.508114, 0.44968337]"
a5059667793,10.1016/j.compbiomed.2017.07.023,"['Dynamic time warping', 'Image warping', 'Complement (music)', 'Sensory Analysis', 'Formalism (music)', 'SIGNAL (programming language)']","[0.7525548, 0.590686, 0.56069124, 0.497973, 0.48204193, 0.42228895]"
a5010298238,10.1353/jhi.2013.0012,['Text Analysis'],[0.454774]
a5009962581,10.1002/ijc.20337,"['Topic Modeling', 'Textual Data', 'Knowledge Representation', 'Text Classification', 'Semantic Similarity', 'Multi-document summarization']","[0.598144, 0.55631, 0.549465, 0.547722, 0.539947, 0.43422794]"
a5019206372,10.1126/science.7886454,"['Genetic linkage', 'Prostate Cancer', 'Genomic Profiling']","[0.6749721, 0.527035, 0.508492]"
a5019206372,10.1093/hmg/ddv099,"['Cowden syndrome', 'Cancer']","[0.58637065, 0.508052]"
a5019206372,10.1016/j.telpol.2008.02.005,"['Chromoplexy', 'Prostate Cancer', 'Candidate gene', 'Comparative genomic hybridization']","[0.54903007, 0.505058, 0.46887755, 0.45836267]"
a5026117716,10.4000/rei.7177,"['Alpha (finance)', 'Gene Expression']","[0.48888415, 0.481276]"
a5026117716,10.4000/rei.4047,['Insulin Signaling'],[0.515228]
a5026117716,10.7202/1006725ar,"['Proteotoxicity', 'Kynurenine pathway', 'Homeostasis', 'Tryptophan Metabolism', 'Catabolism']","[0.8777722, 0.57256126, 0.5551797, 0.538518, 0.43757635]"
a5026117716,10.4000/terminal.4472,"['Endophenotype', 'Modelling biological systems', 'Neuroimaging Data Analysis', 'Neurodegeneration', 'Brain Network Development', 'Translational research', 'Systems medicine', 'Drug development', 'Personalized medicine']","[0.62624025, 0.57817745, 0.535465, 0.524511, 0.512775, 0.49340406, 0.4630307, 0.42852554, 0.41628328]"
a5026117716,10.3917/enic.hs03.0002,"['RNA polymerase II', 'Enhancer RNAs', 'Gene Expression Dysregulation', 'mRNA Decay', 'Chromatin immunoprecipitation', 'Transcription (linguistics)']","[0.5565481, 0.5490504, 0.529646, 0.519124, 0.49740747, 0.42489362]"
a5026117716,10.7771/1481-4374.1793,"['Gene Expression Dysregulation', 'Huntingtin Protein']","[0.453489, 0.44337517]"
a5026117716,10.4074/s0336150017011097,"['GATA4', 'Congenital Heart Defects', 'Heart septal defect']","[0.8075834, 0.522038, 0.45838872]"
a5026117716,10.3917/rbnf.042.0013,"['Model organism', 'Functional genomics', 'Genomics']","[0.5904338, 0.4800735, 0.464126]"
a5026117716,10.3917/lfa.200.0117,"['Neuromuscular transmission', 'Dystrophin']","[0.5625741, 0.557892]"
a5045653236,10.1145/1413634.1413704,"['NOMINATE', 'Radical right', 'Opposition (politics)', 'Party Polarization', 'Salience (neuroscience)', 'Cleavage (geology)']","[0.8541672, 0.5795754, 0.57181144, 0.545597, 0.4184646, 0.41719264]"
a5045653236,10.1186/gb-2012-13-9-r79,"['Investment (military)', 'Regulations']","[0.6955782, 0.492734]"
a5045653236,10.1016/j.chom.2018.05.003,[],[]
a5054128778,10.1093/ckj/sfaa099,['Digital Literature'],[0.505276]
a5054128778,10.1016/j.yexcr.2009.03.003,['Digital Storytelling'],[0.504558]
a5083701333,10.1016/j.cemconres.2007.09.013,['Obesity-associated Microbiome'],[0.559479]
a5083701333,10.1186/s13054-019-2621-4,"['Faecalibacterium prausnitzii', 'Obesity-associated Microbiome', 'Microscopic Colitis', 'Fecal Microbiota Transplantation', 'Microbiome Diversity']","[0.9831853, 0.533068, 0.529325, 0.517976, 0.506496]"
a5083701333,10.1084/jem.20020090,"['Faecalibacterium prausnitzii', 'Obesity-associated Microbiome']","[0.97748625, 0.474868]"
a5083701333,10.1073/pnas.90.15.7024,"['Clinical endpoint', 'Fecal Microbiota Transplantation']","[0.783141, 0.664436]"
a5043441322,10.1086/519237,"['Type 1 Diabetes', 'Diabetes', 'Pandemic']","[0.555587, 0.534983, 0.50955343]"
a5043441322,10.1111/j.1365-2966.2010.16865.x,"['Augmented Renal Clearance', 'Pharmacodynamics', 'Drug Dosing', 'Regimen', 'Therapeutic drug monitoring']","[0.607935, 0.5402794, 0.509791, 0.44217092, 0.43050203]"
a5043441322,10.1088/2041-8205/721/2/l163,"['Rifle', 'Acute Kidney Injury']","[0.75260043, 0.530617]"
a5044456322,10.1086/427976,"['Regulatory T Cells', 'T Cell Activation', 'Memory T Cells', 'Treg cell']","[0.595947, 0.557701, 0.52401, 0.51427144]"
a5044456322,10.1093/mnras/stt449,"['Mesenchymal Stem Cells', 'Graft-versus-Host Disease', 'Stem Cell Aging']","[0.593188, 0.552873, 0.528655]"
a5044456322,10.1086/491724,"['Enterococcus hirae', 'Cancer immunotherapy', 'Tumor Antigen']","[0.586638, 0.52623886, 0.469483]"
a5044456322,10.1103/physrevd.70.083511,"['Memory T Cells', 'T Cell Immunity', 'Tumor Immunity', 'CTLA-4', 'Regulatory T cell', 'Treg cell']","[0.535519, 0.523437, 0.516085, 0.4796853, 0.46095493, 0.44984883]"
a5044456322,10.1086/425219,"['Immunosuppression', 'Regulatory T cell', 'T Cell Activation', 'Regulatory T Cells', 'Proinflammatory cytokine']","[0.6719294, 0.5407193, 0.520269, 0.518726, 0.4622258]"
a5044456322,10.1103/physrevlett.112.251302,"['Arteritis', 'Takayasu Arteritis', ""Takayasu's arteritis""]","[0.63535166, 0.608932, 0.5013015]"
a5072965626,10.1103/physrevd.92.083531,"['Astrophysical Simulations', 'Peculiar galaxy']","[0.490702, 0.448097]"
a5072965626,10.1093/mnras/stv372,"['Billion years', 'Massive Stars', 'Solar mass']","[0.64849985, 0.510167, 0.42065817]"
a5072965626,10.1093/mnras/stt523,"['Data set', 'Wide-Field Spectroscopy', 'William Herschel Telescope']","[0.5468547, 0.469349, 0.4527462]"
a5072965626,10.1371/journal.pgen.1000344,"['Velocity dispersion', 'Initial mass function', 'Stellar population', 'Stellar mass', 'Multi-Object Spectroscopy']","[0.6594, 0.604385, 0.53867656, 0.516348, 0.464156]"
