author_init,doi,keywords,scorings
a5063079937,https://doi.org/10.1002/nme.2859,"['Hyperelastic material', 'Microfluidic Rheometry', 'Entanglement Dynamics']","[0.60344243, 0.560215, 0.504905]"
a5063079937,https://doi.org/10.1017/s002211200600036x,"['Aneurysm Screening', 'Aortic Aneurysms', 'Aortic Dissection', 'Abdominal aorta']","[0.52422, 0.519029, 0.509934, 0.48492625]"
a5063079937,https://doi.org/10.1017/jfm.2011.462,"['Microfluidic Rheometry', 'Square (algebra)']","[0.522067, 0.41503108]"
a5063079937,https://doi.org/10.1017/s0022112011000486,"['Shear modulus', 'Microfluidic Rheometry']","[0.5340964, 0.522632]"
a5063079937,https://doi.org/10.1017/s0022112011000280,"['Viscosity', 'Viscoelasticity', 'Internal flow']","[0.555154, 0.538356, 0.44660032]"
a5063079937,https://doi.org/10.1103/physreve.86.056321,['Hemodynamics'],[0.512572]
a5063079937,https://doi.org/10.1371/journal.pone.0062032,"['Biomaterial', 'Capsule', 'Cell encapsulation', 'Bead', 'Hepatic Stellate Cells']","[0.6882371, 0.62754047, 0.6182827, 0.52370465, 0.476415]"
a5063079937,https://doi.org/10.1017/jfm.2016.603,"['Fluid-Structure Interaction', 'Capsule', 'Lattice Boltzmann methods']","[0.512475, 0.5056219, 0.43513626]"
a5063079937,https://doi.org/10.1016/j.jcis.2010.11.038,"['Shear modulus', 'Microcirculation', 'Degree (music)']","[0.6524304, 0.528191, 0.491055]"
a5063079937,https://doi.org/10.1103/physreve.87.063008,"['Microfluidic Rheometry', 'Square (algebra)', 'Microcirculation', 'Suspension (topology)']","[0.603753, 0.5195116, 0.514921, 0.4415312]"
a5063079937,https://doi.org/10.1002/cnm.2595,"['Fluid–structure interaction', 'Coherent Structures', 'Cardiac cycle']","[0.62268925, 0.483563, 0.48341334]"
a5063079937,https://doi.org/10.1017/jfm.2013.62,['Microfluidic Rheometry'],[0.491662]
a5063079937,https://doi.org/10.1016/j.jmbbm.2017.01.003,"['Lipiodol', 'Embolization', 'GLUE', 'Penetration (warfare)']","[0.7177711, 0.54162, 0.5057626, 0.43282855]"
a5063079937,https://doi.org/10.1063/1.4921247,"['Microfluidic Rheometry', 'Capsule', 'Spherical shell', 'Shear modulus']","[0.481772, 0.4483902, 0.4389578, 0.43079665]"
a5063079937,https://doi.org/10.1016/j.colsurfa.2017.07.065,"['Flow focusing', 'Flow coefficient', 'Droplet Formation', 'Droplet Manipulation', 'Microfluidics', 'Continuous Flow Chemistry', 'Nanofluidic Devices', 'Isothermal flow']","[0.70155436, 0.6252379, 0.6241, 0.588307, 0.559569, 0.526378, 0.509209, 0.42398736]"
a5063079937,https://doi.org/10.1017/jfm.2018.414,"['Binary Fluid Systems', 'Fluid-Structure Interaction', 'Continuous Flow', 'Microfluidics', 'Lattice Boltzmann methods']","[0.525754, 0.518319, 0.518069, 0.514411, 0.48523092]"
a5063079937,https://doi.org/10.1007/s10016-003-0101-3,"['Pulsatile flow', 'Aortic Aneurysms', 'Aortic Dissection', 'Thoracic Aortic Aneurysms', 'Cardiac cycle', 'Hemostasis', 'Aneurysm Screening', 'Systole']","[0.7162897, 0.529599, 0.52528, 0.523421, 0.5119072, 0.508174, 0.507351, 0.43812776]"
a5063079937,https://doi.org/10.1103/physreve.83.041918,"['Shear modulus', 'Spring system', 'Molecular Modeling']","[0.50714064, 0.4935428, 0.488503]"
a5063079937,https://doi.org/10.1016/j.diii.2023.10.003,"['GLUE', 'Rabbit (cipher)', 'Hemodialysis']","[0.71280843, 0.6548143, 0.457879]"
a5063079937,https://doi.org/10.1007/s00396-016-3885-8,"['Microfluidics', 'Capsule', 'Microcirculation', 'Membrane emulsification']","[0.549703, 0.5202521, 0.514054, 0.4593994]"
a5063079937,https://doi.org/10.1017/jfm.2015.759,['Microfluidic Rheometry'],[0.500053]
a5063079937,https://doi.org/10.1016/j.jmbbm.2015.09.008,"['Capsule', 'Microcirculation', 'Transient (computer programming)']","[0.51329726, 0.499061, 0.49849153]"
a5063079937,https://doi.org/10.1088/1757-899x/202/1/012088,"['Vinyl ester', 'Thermogravimetric analysis', 'Thermosetting polymer', 'Thermosetting Resins', 'Mechanical Properties']","[0.8085191, 0.76353574, 0.6458759, 0.54241, 0.500146]"
a5063079937,https://doi.org/10.1039/c7sm01417a,"['Constriction', 'Clot Structure', 'Brittleness']","[0.6042986, 0.49362, 0.44526288]"
a5063079937,https://doi.org/10.1017/jfm.2021.571,"['Microchannel', 'Microcirculation', 'Molecular Modeling', 'Microfluidic Rheometry', 'Multi-Phase Flows']","[0.5784049, 0.543287, 0.508345, 0.50701, 0.505585]"
a5075692514,https://doi.org/10.1023/a:1024583026925,"['Polydimethylsiloxane', 'Petri dish', 'Microfluidic Devices']","[0.86933863, 0.5276688, 0.515431]"
a5075692514,https://doi.org/10.1021/bp0300568,"['Polydimethylsiloxane', 'Microfluidic Devices', 'Bioprinting', 'Tissue Engineering', 'Bioinks', 'SCALE-UP']","[0.93466884, 0.567794, 0.51101, 0.507927, 0.504282, 0.49674731]"
a5075692514,https://doi.org/10.1016/j.biomaterials.2005.06.002,"['Polydimethylsiloxane', 'Osteoblast Adhesion', 'Tissue Engineering', 'Scaffold Fabrication', 'Microfluidics', 'Petri dish']","[0.5726691, 0.562066, 0.538939, 0.522687, 0.5028, 0.47808668]"
a5075692514,https://doi.org/10.1088/0960-1317/25/12/125003,"['Parylene', 'Conducting Polymers']","[0.57523316, 0.511681]"
a5075692514,https://doi.org/10.1039/d2lc00307d,"['Detoxification (alternative medicine)', 'Liver Regeneration', 'Organ-on-a-chip', 'Liver toxicity']","[0.6966458, 0.49754, 0.45577833, 0.44249228]"
a5075692514,https://doi.org/10.1016/j.biomaterials.2003.10.060,"['Biodegradable polymer', 'Polymer Nanofibers', 'Bioprinting', 'Microreactor Technology', 'Tissue Engineering', 'Nano-composites']","[0.5711332, 0.547783, 0.536589, 0.525946, 0.521362, 0.508465]"
a5075692514,https://doi.org/10.1016/j.tiv.2006.11.004,"['Biochip', 'Microfluidic Devices', 'Tissue Engineering', 'Bioprinting', 'Organ-on-a-Chip', 'Bioinks']","[0.96792424, 0.536497, 0.509653, 0.508413, 0.507669, 0.502756]"
a5075692514,https://doi.org/10.1016/j.bej.2010.10.007,['Microfluidic Devices'],[0.513585]
a5075692514,https://doi.org/10.1002/bit.23104,"['Biochip', 'Microfluidics', 'Microfluidic Devices', 'Nanofluidic Devices', 'Single-Cell Analysis', 'Lab-on-a-Chip']","[0.9741083, 0.533397, 0.520252, 0.50787, 0.505459, 0.50183]"
a5075692514,https://doi.org/10.1021/ac2011075,"['Microfluidics', 'Metabolomics', 'Microfluidic Devices', 'Pharmacometabolomics', 'Continuous Flow Chemistry']","[0.554642, 0.552467, 0.534223, 0.526998, 0.51379]"
a5075692514,https://doi.org/10.1002/bit.24707,"['Nephrotoxicity', 'Active metabolite', 'Acrolein', 'Biochip', 'Organ-on-a-Chip']","[0.8054516, 0.5302902, 0.52981484, 0.50525695, 0.480273]"
a5075692514,https://doi.org/10.1093/toxsci/kfs230,"['Biochip', 'Flutamide', 'Metabolomics', 'Pharmacometabolomics', 'Human Metabolome Database', 'Organ-on-a-Chip', 'Microfluidics', 'Microfluidic chip', 'Active metabolite']","[0.75438154, 0.6941055, 0.598112, 0.596032, 0.551953, 0.527822, 0.515752, 0.4921886, 0.49008286]"
a5075692514,https://doi.org/10.1016/j.tiv.2014.02.005,"['Microfluidics', 'Microfluidic Devices', 'Organ-on-a-Chip']","[0.514766, 0.504039, 0.502125]"
a5075692514,https://doi.org/10.1002/bit.25232,"['ADME', 'Drug Metabolism']","[0.85380685, 0.494591]"
a5075692514,https://doi.org/10.1021/bp0603513,"['Organ-on-a-Chip', 'Microfluidic Devices']","[0.521351, 0.519466]"
a5075692514,https://doi.org/10.1063/1.3054128,"['Microchannel', 'Microfluidic Rheometry', 'Shear modulus', 'Microcirculation']","[0.9030942, 0.577394, 0.5178642, 0.508161]"
a5075692514,https://doi.org/10.1016/j.taap.2011.12.017,"['Acetaminophen', 'Toxicogenomics', 'Lysophosphatidylethanolamine', 'Organ-on-a-Chip', 'Pharmacometabolomics', 'Biochip']","[0.7074783, 0.59997416, 0.54664004, 0.511019, 0.503016, 0.42540964]"
a5075692514,https://doi.org/10.1016/j.ijpharm.2011.01.054,"['Biochip', 'Xenobiotic Metabolism', 'Drug Metabolism', 'Pharmaceutical technology']","[0.72751075, 0.520224, 0.503828, 0.4127664]"
a5075692514,https://doi.org/10.1002/jps.23466,"['Xenobiotic Metabolism', 'Cell Culture', 'Single-Cell Analysis']","[0.537992, 0.506618, 0.503161]"
