author_init,doi,keywords,scorings
a5063079937,https://doi.org/10.1002/nme.2859,Hyperelastic material,0.60344243
a5063079937,https://doi.org/10.1002/nme.2859,Microfluidic Rheometry,0.560215
a5063079937,https://doi.org/10.1002/nme.2859,Entanglement Dynamics,0.504905
a5063079937,https://doi.org/10.1017/jfm.2011.462,Microfluidic Rheometry,0.522067
a5063079937,https://doi.org/10.1017/jfm.2011.462,Square (algebra),0.41503108
a5063079937,https://doi.org/10.1017/s0022112011000486,Shear modulus,0.5340964
a5063079937,https://doi.org/10.1017/s0022112011000486,Microfluidic Rheometry,0.522632
a5063079937,https://doi.org/10.1017/s002211200600036x,Aneurysm Screening,0.52422
a5063079937,https://doi.org/10.1017/s002211200600036x,Aortic Aneurysms,0.519029
a5063079937,https://doi.org/10.1017/s002211200600036x,Aortic Dissection,0.509934
a5063079937,https://doi.org/10.1017/s002211200600036x,Abdominal aorta,0.48492625
a5063079937,https://doi.org/10.1017/s0022112011000280,Viscosity,0.555154
a5063079937,https://doi.org/10.1017/s0022112011000280,Viscoelasticity,0.538356
a5063079937,https://doi.org/10.1017/s0022112011000280,Internal flow,0.44660032
a5063079937,https://doi.org/10.1103/physreve.86.056321,Hemodynamics,0.512572
a5063079937,https://doi.org/10.1371/journal.pone.0062032,Biomaterial,0.6882371
a5063079937,https://doi.org/10.1371/journal.pone.0062032,Capsule,0.62754047
a5063079937,https://doi.org/10.1371/journal.pone.0062032,Cell encapsulation,0.6182827
a5063079937,https://doi.org/10.1371/journal.pone.0062032,Bead,0.52370465
a5063079937,https://doi.org/10.1371/journal.pone.0062032,Hepatic Stellate Cells,0.476415
a5063079937,https://doi.org/10.1017/jfm.2016.603,Fluid-Structure Interaction,0.512475
a5063079937,https://doi.org/10.1017/jfm.2016.603,Capsule,0.5056219
a5063079937,https://doi.org/10.1017/jfm.2016.603,Lattice Boltzmann methods,0.43513626
a5063079937,https://doi.org/10.1016/j.jcis.2010.11.038,Shear modulus,0.6524304
a5063079937,https://doi.org/10.1016/j.jcis.2010.11.038,Microcirculation,0.528191
a5063079937,https://doi.org/10.1016/j.jcis.2010.11.038,Degree (music),0.491055
a5063079937,https://doi.org/10.1103/physreve.87.063008,Microfluidic Rheometry,0.603753
a5063079937,https://doi.org/10.1103/physreve.87.063008,Square (algebra),0.5195116
a5063079937,https://doi.org/10.1103/physreve.87.063008,Microcirculation,0.514921
a5063079937,https://doi.org/10.1103/physreve.87.063008,Suspension (topology),0.4415312
a5063079937,https://doi.org/10.1002/cnm.2595,Fluid–structure interaction,0.62268925
a5063079937,https://doi.org/10.1002/cnm.2595,Coherent Structures,0.483563
a5063079937,https://doi.org/10.1002/cnm.2595,Cardiac cycle,0.48341334
a5063079937,https://doi.org/10.1017/jfm.2013.62,Microfluidic Rheometry,0.491662
a5063079937,https://doi.org/10.1016/j.jmbbm.2017.01.003,Lipiodol,0.7177711
a5063079937,https://doi.org/10.1016/j.jmbbm.2017.01.003,Embolization,0.54162
a5063079937,https://doi.org/10.1016/j.jmbbm.2017.01.003,GLUE,0.5057626
a5063079937,https://doi.org/10.1016/j.jmbbm.2017.01.003,Penetration (warfare),0.43282855
a5063079937,https://doi.org/10.1063/1.4921247,Microfluidic Rheometry,0.481772
a5063079937,https://doi.org/10.1063/1.4921247,Capsule,0.4483902
a5063079937,https://doi.org/10.1063/1.4921247,Spherical shell,0.4389578
a5063079937,https://doi.org/10.1063/1.4921247,Shear modulus,0.43079665
a5063079937,https://doi.org/10.1016/j.colsurfa.2017.07.065,Flow focusing,0.70155436
a5063079937,https://doi.org/10.1016/j.colsurfa.2017.07.065,Flow coefficient,0.6252379
a5063079937,https://doi.org/10.1016/j.colsurfa.2017.07.065,Droplet Formation,0.6241
a5063079937,https://doi.org/10.1016/j.colsurfa.2017.07.065,Droplet Manipulation,0.588307
a5063079937,https://doi.org/10.1016/j.colsurfa.2017.07.065,Microfluidics,0.559569
a5063079937,https://doi.org/10.1016/j.colsurfa.2017.07.065,Continuous Flow Chemistry,0.526378
a5063079937,https://doi.org/10.1016/j.colsurfa.2017.07.065,Nanofluidic Devices,0.509209
a5063079937,https://doi.org/10.1016/j.colsurfa.2017.07.065,Isothermal flow,0.42398736
a5063079937,https://doi.org/10.1017/jfm.2018.414,Binary Fluid Systems,0.525754
a5063079937,https://doi.org/10.1017/jfm.2018.414,Fluid-Structure Interaction,0.518319
a5063079937,https://doi.org/10.1017/jfm.2018.414,Continuous Flow,0.518069
a5063079937,https://doi.org/10.1017/jfm.2018.414,Microfluidics,0.514411
a5063079937,https://doi.org/10.1017/jfm.2018.414,Lattice Boltzmann methods,0.48523092
a5063079937,https://doi.org/10.1007/s10016-003-0101-3,Pulsatile flow,0.7162897
a5063079937,https://doi.org/10.1007/s10016-003-0101-3,Aortic Aneurysms,0.529599
a5063079937,https://doi.org/10.1007/s10016-003-0101-3,Aortic Dissection,0.52528
a5063079937,https://doi.org/10.1007/s10016-003-0101-3,Thoracic Aortic Aneurysms,0.523421
a5063079937,https://doi.org/10.1007/s10016-003-0101-3,Cardiac cycle,0.5119072
a5063079937,https://doi.org/10.1007/s10016-003-0101-3,Hemostasis,0.508174
a5063079937,https://doi.org/10.1007/s10016-003-0101-3,Aneurysm Screening,0.507351
a5063079937,https://doi.org/10.1007/s10016-003-0101-3,Systole,0.43812776
a5063079937,https://doi.org/10.1103/physreve.83.041918,Shear modulus,0.50714064
a5063079937,https://doi.org/10.1103/physreve.83.041918,Spring system,0.4935428
a5063079937,https://doi.org/10.1103/physreve.83.041918,Molecular Modeling,0.488503
a5063079937,https://doi.org/10.1007/s00396-016-3885-8,Microfluidics,0.549703
a5063079937,https://doi.org/10.1007/s00396-016-3885-8,Capsule,0.5202521
a5063079937,https://doi.org/10.1007/s00396-016-3885-8,Microcirculation,0.514054
a5063079937,https://doi.org/10.1007/s00396-016-3885-8,Membrane emulsification,0.4593994
a5063079937,https://doi.org/10.1016/j.diii.2023.10.003,GLUE,0.71280843
a5063079937,https://doi.org/10.1016/j.diii.2023.10.003,Rabbit (cipher),0.6548143
a5063079937,https://doi.org/10.1016/j.diii.2023.10.003,Hemodialysis,0.457879
a5063079937,https://doi.org/10.1017/jfm.2015.759,Microfluidic Rheometry,0.500053
a5063079937,https://doi.org/10.1088/1757-899x/202/1/012088,Vinyl ester,0.8085191
a5063079937,https://doi.org/10.1088/1757-899x/202/1/012088,Thermogravimetric analysis,0.76353574
a5063079937,https://doi.org/10.1088/1757-899x/202/1/012088,Thermosetting polymer,0.6458759
a5063079937,https://doi.org/10.1088/1757-899x/202/1/012088,Thermosetting Resins,0.54241
a5063079937,https://doi.org/10.1088/1757-899x/202/1/012088,Mechanical Properties,0.500146
a5063079937,https://doi.org/10.1016/j.jmbbm.2015.09.008,Capsule,0.51329726
a5063079937,https://doi.org/10.1016/j.jmbbm.2015.09.008,Microcirculation,0.499061
a5063079937,https://doi.org/10.1016/j.jmbbm.2015.09.008,Transient (computer programming),0.49849153
a5063079937,https://doi.org/10.1039/c7sm01417a,Constriction,0.6042986
a5063079937,https://doi.org/10.1039/c7sm01417a,Clot Structure,0.49362
a5063079937,https://doi.org/10.1039/c7sm01417a,Brittleness,0.44526288
a5063079937,https://doi.org/10.1017/jfm.2021.571,Microchannel,0.5784049
a5063079937,https://doi.org/10.1017/jfm.2021.571,Microcirculation,0.543287
a5063079937,https://doi.org/10.1017/jfm.2021.571,Molecular Modeling,0.508345
a5063079937,https://doi.org/10.1017/jfm.2021.571,Microfluidic Rheometry,0.50701
a5063079937,https://doi.org/10.1017/jfm.2021.571,Multi-Phase Flows,0.505585
a5075692514,https://doi.org/10.1023/a:1024583026925,Polydimethylsiloxane,0.86933863
a5075692514,https://doi.org/10.1023/a:1024583026925,Petri dish,0.5276688
a5075692514,https://doi.org/10.1023/a:1024583026925,Microfluidic Devices,0.515431
a5075692514,https://doi.org/10.1021/bp0300568,Polydimethylsiloxane,0.93466884
a5075692514,https://doi.org/10.1021/bp0300568,Microfluidic Devices,0.567794
a5075692514,https://doi.org/10.1021/bp0300568,Bioprinting,0.51101
a5075692514,https://doi.org/10.1021/bp0300568,Tissue Engineering,0.507927
a5075692514,https://doi.org/10.1021/bp0300568,Bioinks,0.504282
a5075692514,https://doi.org/10.1021/bp0300568,SCALE-UP,0.49674731
a5075692514,https://doi.org/10.1016/j.biomaterials.2005.06.002,Polydimethylsiloxane,0.5726691
a5075692514,https://doi.org/10.1016/j.biomaterials.2005.06.002,Osteoblast Adhesion,0.562066
a5075692514,https://doi.org/10.1016/j.biomaterials.2005.06.002,Tissue Engineering,0.538939
a5075692514,https://doi.org/10.1016/j.biomaterials.2005.06.002,Scaffold Fabrication,0.522687
a5075692514,https://doi.org/10.1016/j.biomaterials.2005.06.002,Microfluidics,0.5028
a5075692514,https://doi.org/10.1016/j.biomaterials.2005.06.002,Petri dish,0.47808668
a5075692514,https://doi.org/10.1088/0960-1317/25/12/125003,Parylene,0.57523316
a5075692514,https://doi.org/10.1088/0960-1317/25/12/125003,Conducting Polymers,0.511681
a5075692514,https://doi.org/10.1039/d2lc00307d,Detoxification (alternative medicine),0.6966458
a5075692514,https://doi.org/10.1039/d2lc00307d,Liver Regeneration,0.49754
a5075692514,https://doi.org/10.1039/d2lc00307d,Organ-on-a-chip,0.45577833
a5075692514,https://doi.org/10.1039/d2lc00307d,Liver toxicity,0.44249228
a5075692514,https://doi.org/10.1016/j.biomaterials.2003.10.060,Biodegradable polymer,0.5711332
a5075692514,https://doi.org/10.1016/j.biomaterials.2003.10.060,Polymer Nanofibers,0.547783
a5075692514,https://doi.org/10.1016/j.biomaterials.2003.10.060,Bioprinting,0.536589
a5075692514,https://doi.org/10.1016/j.biomaterials.2003.10.060,Microreactor Technology,0.525946
a5075692514,https://doi.org/10.1016/j.biomaterials.2003.10.060,Tissue Engineering,0.521362
a5075692514,https://doi.org/10.1016/j.biomaterials.2003.10.060,Nano-composites,0.508465
a5075692514,https://doi.org/10.1021/bp0603513,Trypan blue,0.6544374
a5075692514,https://doi.org/10.1021/bp0603513,Organ-on-a-Chip,0.521351
a5075692514,https://doi.org/10.1021/bp0603513,Microfluidic Devices,0.519466
a5075692514,https://doi.org/10.1021/bp0603513,Viability assay,0.5095113
a5075692514,https://doi.org/10.1021/bp0603513,Polydimethylsiloxane,0.50590795
a5075692514,https://doi.org/10.1021/bp0603513,In vitro toxicology,0.42879975
a5075692514,https://doi.org/10.1016/j.tiv.2006.11.004,Biochip,0.96792424
a5075692514,https://doi.org/10.1016/j.tiv.2006.11.004,Microfluidic Devices,0.536497
a5075692514,https://doi.org/10.1016/j.tiv.2006.11.004,Tissue Engineering,0.509653
a5075692514,https://doi.org/10.1016/j.tiv.2006.11.004,Bioprinting,0.508413
a5075692514,https://doi.org/10.1016/j.tiv.2006.11.004,Organ-on-a-Chip,0.507669
a5075692514,https://doi.org/10.1016/j.tiv.2006.11.004,Bioinks,0.502756
a5075692514,https://doi.org/10.1016/j.bej.2010.10.007,Ammonium chloride,0.62361795
a5075692514,https://doi.org/10.1016/j.bej.2010.10.007,Microfluidic Devices,0.513585
a5075692514,https://doi.org/10.1002/bit.23104,Biochip,0.9741083
a5075692514,https://doi.org/10.1002/bit.23104,Microfluidics,0.533397
a5075692514,https://doi.org/10.1002/bit.23104,Microfluidic Devices,0.520252
a5075692514,https://doi.org/10.1002/bit.23104,Nanofluidic Devices,0.50787
a5075692514,https://doi.org/10.1002/bit.23104,Single-Cell Analysis,0.505459
a5075692514,https://doi.org/10.1002/bit.23104,Lab-on-a-Chip,0.50183
a5075692514,https://doi.org/10.1021/ac2011075,Microfluidics,0.554642
a5075692514,https://doi.org/10.1021/ac2011075,Metabolomics,0.552467
a5075692514,https://doi.org/10.1021/ac2011075,Microfluidic Devices,0.534223
a5075692514,https://doi.org/10.1021/ac2011075,Pharmacometabolomics,0.526998
a5075692514,https://doi.org/10.1021/ac2011075,Continuous Flow Chemistry,0.51379
a5075692514,https://doi.org/10.1002/bit.24707,Nephrotoxicity,0.8054516
a5075692514,https://doi.org/10.1002/bit.24707,Active metabolite,0.5302902
a5075692514,https://doi.org/10.1002/bit.24707,Acrolein,0.52981484
a5075692514,https://doi.org/10.1002/bit.24707,Biochip,0.50525695
a5075692514,https://doi.org/10.1002/bit.24707,Organ-on-a-Chip,0.480273
a5075692514,https://doi.org/10.1093/toxsci/kfs230,Biochip,0.75438154
a5075692514,https://doi.org/10.1093/toxsci/kfs230,Flutamide,0.6941055
a5075692514,https://doi.org/10.1093/toxsci/kfs230,Metabolomics,0.598112
a5075692514,https://doi.org/10.1093/toxsci/kfs230,Pharmacometabolomics,0.596032
a5075692514,https://doi.org/10.1093/toxsci/kfs230,Human Metabolome Database,0.551953
a5075692514,https://doi.org/10.1093/toxsci/kfs230,Organ-on-a-Chip,0.527822
a5075692514,https://doi.org/10.1093/toxsci/kfs230,Microfluidics,0.515752
a5075692514,https://doi.org/10.1093/toxsci/kfs230,Microfluidic chip,0.4921886
a5075692514,https://doi.org/10.1093/toxsci/kfs230,Active metabolite,0.49008286
a5075692514,https://doi.org/10.1016/j.tiv.2014.02.005,Microfluidics,0.514766
a5075692514,https://doi.org/10.1016/j.tiv.2014.02.005,Microfluidic Devices,0.504039
a5075692514,https://doi.org/10.1016/j.tiv.2014.02.005,Organ-on-a-Chip,0.502125
a5075692514,https://doi.org/10.1002/bit.25232,ADME,0.85380685
a5075692514,https://doi.org/10.1002/bit.25232,Drug Metabolism,0.494591
a5075692514,https://doi.org/10.1063/1.3054128,Microchannel,0.9030942
a5075692514,https://doi.org/10.1063/1.3054128,Microfluidic Rheometry,0.577394
a5075692514,https://doi.org/10.1063/1.3054128,Shear modulus,0.5178642
a5075692514,https://doi.org/10.1063/1.3054128,Microcirculation,0.508161
a5075692514,https://doi.org/10.1016/j.taap.2011.12.017,Acetaminophen,0.7074783
a5075692514,https://doi.org/10.1016/j.taap.2011.12.017,Toxicogenomics,0.59997416
a5075692514,https://doi.org/10.1016/j.taap.2011.12.017,Lysophosphatidylethanolamine,0.54664004
a5075692514,https://doi.org/10.1016/j.taap.2011.12.017,Organ-on-a-Chip,0.511019
a5075692514,https://doi.org/10.1016/j.taap.2011.12.017,Pharmacometabolomics,0.503016
a5075692514,https://doi.org/10.1016/j.taap.2011.12.017,Biochip,0.42540964
a5075692514,https://doi.org/10.1016/j.ijpharm.2011.01.054,Biochip,0.72751075
a5075692514,https://doi.org/10.1016/j.ijpharm.2011.01.054,Xenobiotic Metabolism,0.520224
a5075692514,https://doi.org/10.1016/j.ijpharm.2011.01.054,Drug Metabolism,0.503828
a5075692514,https://doi.org/10.1016/j.ijpharm.2011.01.054,Pharmaceutical technology,0.4127664
a5075692514,https://doi.org/10.1002/jps.23466,Biochip,0.929628
a5075692514,https://doi.org/10.1002/jps.23466,Primary (astronomy),0.682526
a5075692514,https://doi.org/10.1002/jps.23466,Xenobiotic Metabolism,0.537992
a5075692514,https://doi.org/10.1002/jps.23466,Cell Culture,0.506618
a5075692514,https://doi.org/10.1002/jps.23466,Characterization (materials science),0.5058341
a5075692514,https://doi.org/10.1002/jps.23466,Single-Cell Analysis,0.503161
a5075692514,https://doi.org/10.1016/j.bej.2020.107783,PDX1,0.74606514
a5075692514,https://doi.org/10.1016/j.bej.2020.107783,GLUT2,0.6272703
a5075692514,https://doi.org/10.1016/j.bej.2020.107783,Organ-on-a-Chip,0.568826
a5075692514,https://doi.org/10.1016/j.bej.2020.107783,Lab-on-a-Chip,0.546015
a5075692514,https://doi.org/10.1016/j.bej.2020.107783,Pancreas Development,0.52816
a5075692514,https://doi.org/10.1016/j.bej.2020.107783,Pancreatic islets,0.42573255
a5075692514,https://doi.org/10.1016/j.bej.2003.09.010,Polydimethylsiloxane,0.6174466
a5075692514,https://doi.org/10.1016/j.bej.2003.09.010,Petri dish,0.533011
a5075692514,https://doi.org/10.1016/j.bej.2003.09.010,Microfluidic Devices,0.503065
a5075692514,https://doi.org/10.1016/j.bej.2003.09.010,Bioartificial liver device,0.42468622
a5075692514,https://doi.org/10.1016/j.bej.2003.09.010,Microcarrier,0.41149098
a5075692514,https://doi.org/10.1002/btpr.743,Biochip,0.8905529
a5075692514,https://doi.org/10.1002/btpr.743,Microfluidics,0.560634
a5075692514,https://doi.org/10.1002/btpr.743,Microfluidic Devices,0.50419
a5075692514,https://doi.org/10.1016/j.jcis.2010.11.038,Shear modulus,0.6524304
a5075692514,https://doi.org/10.1016/j.jcis.2010.11.038,Microcirculation,0.528191
a5075692514,https://doi.org/10.1016/j.jcis.2010.11.038,Degree (music),0.491055
a5075692514,https://doi.org/10.1103/physreve.87.063008,Microfluidic Rheometry,0.603753
